ve,vf,vr,df,dr,d_safe_f,d_safe_r,delta_df,u_total
0.3,0.34335118366732037,0.25040661004533676,1.0,1.5,0.45999999999999996,0.42528462703173575,0.54,0.0
0.3,0.33703480815127473,0.2507928895884067,1.004335118366732,1.5049593389954663,0.45999999999999996,0.42555502271188467,0.544335118366732,0.0
0.3,0.3310342514110314,0.2511598551543231,1.0080385991818595,1.5098800500366256,0.45999999999999996,0.42581189860802615,0.5480385991818595,0.0
0.3,0.3253337225078002,0.2515084724419437,1.0111420243229625,1.5147640645211933,0.45999999999999996,0.42605593070936054,0.5511420243229626,0.0
0.3,0.31991822004973053,0.2518396588651833,1.0136753965737426,1.519613217276999,0.45999999999999996,0.4262877612056283,0.5536753965737427,0.0
0.3,0.3147734927145644,0.25215428596726086,1.0156672185787157,1.5244292513904807,0.45999999999999996,0.42650800017708257,0.5556672185787157,0.0
0.3,0.30988600174615655,0.2524531817142346,1.017144567850172,1.5292138227937546,0.45999999999999996,0.4267172271999642,0.5571445678501721,0.0
0.3,0.3052428853261691,0.2527371326738596,1.0181331680247876,1.5339685046223313,0.45999999999999996,0.4269159928717017,0.5581331680247876,0.0
0.3,0.300831924727181,0.25300688608550337,1.0186574565574045,1.5386947913549454,0.45999999999999996,0.42710482025985236,0.5586574565574045,0.0
0.3,0.29664151215814233,0.25326315182656495,1.0187406490301225,1.543394102746395,0.45999999999999996,0.4272842062785954,0.5587406490301225,0.0
0.3,0.29266062021755557,0.2535066042805735,1.0184048002459367,1.5480677875637385,0.45999999999999996,0.4274546229964014,0.5584048002459367,0.0
0.3,0.28887877287399816,0.2537378841118816,1.0176708622676922,1.5527171271356812,0.45999999999999996,0.4276165188783171,0.5576708622676922,0.0
0.3,0.28528601789761865,0.25395759995162426,1.0165587395550921,1.557343338724493,0.45999999999999996,0.42777031996613696,0.5565587395550922,0.0
0.3,0.2818729006700581,0.2541663299993798,1.015087341344854,1.5619475787293307,0.45999999999999996,0.4279164309995659,0.555087341344854,0.0
0.3,0.27863043930387554,0.2543646235447476,1.01327463141186,1.5665309457293928,0.45999999999999996,0.42805523648132326,0.55327463141186,0.0
0.3,0.27555010100600213,0.25455300241284695,1.0111376753422474,1.571094483374918,0.45999999999999996,0.4281871016889929,0.5511376753422474,0.0
0.3,0.2726237796230224,0.25473196233754136,1.0086926854428477,1.5756391831336334,0.45999999999999996,0.42831237363627894,0.5486926854428478,0.0
0.3,0.26984377430919165,0.25490197426600103,1.00595506340515,1.5801659868998792,0.45999999999999996,0.4284313819862007,0.54595506340515,0.0
0.3,0.26720276926105246,0.2550634855980377,1.002939440836069,1.584675789473279,0.45999999999999996,0.4285444399186264,0.542939440836069,0.0
0.3,0.2646938144653202,0.25521692136347257,0.9996597177621742,1.5891694409134753,0.45999999999999996,0.42865184495443076,0.5396597177621743,0.0
0.3,0.26231030740937455,0.2553626853406357,0.9961290992087062,1.5936477487771281,0.45999999999999996,0.42875387973844503,0.5361290992087062,0.0
0.3,0.2600459757062262,0.25550116111894067,0.9923601299496436,1.5981114802430645,0.45999999999999996,0.42885081278325843,0.5323601299496437,0.0
0.3,0.25789486058823524,0.2556327131083304,0.9883647275202663,1.6025613641311705,0.45999999999999996,0.4289428991758313,0.5283647275202663,0.0
0.3,0.25585130122614386,0.2557576874982507,0.9841542135790898,1.6069980928203373,0.45999999999999996,0.42903038124877546,0.5241542135790899,0.0
0.3,0.25390991983215705,0.2558764131686749,0.9797393437017042,1.6114223240705123,0.45999999999999996,0.4291134892180724,0.5197393437017043,0.0
0.3,0.25206560750786955,0.2559892025555779,0.9751303356849199,1.615834682753645,0.45999999999999996,0.4291924417889045,0.51513033568492,0.0
0.3,0.25031351079979647,0.2560963524731358,0.9703368964357069,1.6202357624980872,0.45999999999999996,0.42926744673119505,0.5103368964357069,0.0
0.3,0.248649018927127,0.25619814489481574,0.9653682475156865,1.6246261272507736,0.45999999999999996,0.429338701426371,0.5053682475156865,0.0
0.3,0.24706775164809103,0.2562948476954117,0.9602331494083992,1.629006312761292,0.45999999999999996,0.4294063933867882,0.5002331494083992,0.0
