Time(s),FilteredDistance(m),SafeDistance(m),DistanceError(m),TargetVelocity(m/s),MeasuredVelocity(m/s),VelocityError(m/s),PIDOutput,PWMOutput
1775706549.396,0.109,0.235,-0.126,0.0,0.147,-0.147,-36.3,0
1775706549.546,0.105,0.231,-0.126,0.0,0.14,-0.14,-34.5,0
1775706549.696,0.102,0.228,-0.125,0.0,0.133,-0.133,-32.8,0
1775706549.846,0.1,0.224,-0.124,0.0,0.126,-0.126,-31.1,0
1775706549.997,0.098,0.22,-0.123,0.0,0.12,-0.12,-29.6,0
1775706550.147,0.089,0.217,-0.128,0.0,0.114,-0.114,-28.1,0
1775706550.297,0.082,0.214,-0.132,0.0,0.108,-0.108,-26.7,0
1775706550.447,0.075,0.211,-0.135,0.0,0.103,-0.103,-25.4,0
1775706550.597,0.078,0.208,-0.13,0.0,0.098,-0.098,-24.1,0
1775706550.748,0.081,0.205,-0.124,0.0,0.093,-0.093,-22.9,0
1775706550.898,0.084,0.202,-0.118,0.0,0.088,-0.088,-21.7,0
1775706551.048,0.097,0.2,-0.103,0.0,0.084,-0.084,-20.6,0
1775706551.198,0.107,0.197,-0.09,0.0,0.08,-0.08,-19.6,0
1775706551.348,0.117,0.195,-0.078,0.0,0.076,-0.076,-18.6,0
1775706551.499,0.128,0.193,-0.065,0.0,0.072,-0.072,-14.9,0
1775706551.649,0.143,0.19,-0.047,0.0,0.068,-0.068,-14.2,0
1775706551.799,0.156,0.188,-0.032,0.0,0.065,-0.065,-13.5,0
1775706551.949,0.166,0.187,-0.02,0.0,0.062,-0.062,-12.8,0
1775706552.1,0.175,0.185,-0.009,0.0,0.058,-0.058,-12.2,0
1775706552.251,0.183,0.183,0.0,0.071,0.056,0.015,6.0,60
1775706552.401,0.198,0.18,0.018,0.27,0.044,0.226,56.1,60
1775706552.551,0.21,0.177,0.033,0.35,0.034,0.316,83.9,83
1775706552.702,0.221,0.174,0.046,0.35,0.033,0.317,99.2,99
1775706552.851,0.229,0.173,0.056,0.35,0.041,0.309,115.7,115
1775706553.001,0.234,0.175,0.059,0.35,0.059,0.291,129.6,129
1775706553.151,0.239,0.179,0.06,0.35,0.082,0.268,141.7,141
1775706553.301,0.243,0.185,0.058,0.35,0.107,0.243,152.0,151
1775706553.452,0.245,0.193,0.052,0.35,0.137,0.213,159.7,159
1775706553.602,0.248,0.205,0.043,0.35,0.181,0.169,162.4,162
1775706553.752,0.254,0.22,0.035,0.35,0.225,0.125,163.1,163
1775706553.902,0.26,0.235,0.025,0.35,0.263,0.087,162.8,162
1775706554.052,0.264,0.25,0.014,0.35,0.293,0.057,161.8,161
1775706554.202,0.268,0.265,0.003,0.336,0.314,0.021,157.4,157
1775706554.353,0.269,0.277,-0.009,0.306,0.33,-0.024,148.8,148
1775706554.503,0.267,0.288,-0.021,0.276,0.338,-0.062,139.6,139
1775706554.653,0.265,0.296,-0.03,0.246,0.339,-0.093,129.8,129
1775706554.803,0.255,0.301,-0.045,0.216,0.331,-0.115,120.0,119
1775706554.954,0.245,0.303,-0.058,0.186,0.317,-0.131,110.2,110
1775706555.104,0.234,0.302,-0.068,0.156,0.298,-0.142,100.3,100
1775706555.254,0.221,0.298,-0.077,0.126,0.275,-0.149,90.8,90
1775706555.404,0.208,0.291,-0.082,0.096,0.238,-0.142,83.9,83
1775706555.554,0.196,0.28,-0.085,0.066,0.196,-0.13,78.3,78
1775706555.705,0.182,0.268,-0.086,0.036,0.161,-0.125,71.5,71
1775706555.855,0.168,0.255,-0.087,0.006,0.133,-0.128,63.4,63
1775706556.005,0.157,0.242,-0.085,0.0,0.103,-0.103,62.1,62
1775706556.155,0.149,0.228,-0.079,0.0,0.078,-0.078,-15.5,0
1775706556.305,0.146,0.218,-0.072,0.0,0.074,-0.074,-15.5,0
1775706556.455,0.144,0.21,-0.066,0.0,0.071,-0.071,-14.7,0
1775706556.605,0.144,0.203,-0.06,0.0,0.067,-0.067,-14.0,0
1775706556.755,0.142,0.198,-0.056,0.0,0.064,-0.064,-13.3,0
1775706556.905,0.137,0.194,-0.056,0.0,0.061,-0.061,-12.6,0
